INTEGER;CATEGORICAL;STRING;DOUBLE
#;Estado;Nome Município;Valor
290;BAHIA;ARAMARI;1452724
291;BAHIA;ARATUIPE;1535411
292;BAHIA;AURELINO LEAL;2801809
293;BAHIA;BAIANOPOLIS;2391614
294;BAHIA;BAIXA GRANDE;3568822
295;BAHIA;BARRA;9518308
296;BAHIA;BARRA DA ESTIVA;3272958
297;BAHIA;BARRA DO CHOCA;5238936
298;BAHIA;BARRA DO MENDES;2327310
299;BAHIA;BARRA DO ROCHA;1130288
300;BAHIA;BARREIRAS;14272477
301;BAHIA;BARRO PRETO;1141499
302;BAHIA;BELMONTE;3658756
303;BAHIA;BELO CAMPO;2310243
304;BAHIA;BIRITINGA;2777835
305;BAHIA;BOA NOVA;2995321
306;BAHIA;BOA VISTA DO TUPIM;3644705
307;BAHIA;BOM JESUS DA LAPA;9927214
308;BAHIA;BONINAL;2224083
309;BAHIA;BOQUIRA;3864443
310;BAHIA;BOTUPORA;1871704
311;BAHIA;BREJOES;1858534
312;BAHIA;BREJOLANDIA;1658754
313;BAHIA;BROTAS DE MACAUBAS;1986162
314;BAHIA;BRUMADO;8074134
315;BAHIA;BUERAREMA;2583142
316;BAHIA;CAATIBA;1639686
317;BAHIA;CACHOEIRA;4736094
318;BAHIA;CACULE;2651331
319;BAHIA;CAEM;2035165
320;BAHIA;CAETITE;6840729
321;BAHIA;CAFARNAUM;3236622
322;BAHIA;CAIRU;2342074
323;BAHIA;CALDEIRAO GRANDE;2603790
324;BAHIA;CAMACAN;4012224
325;BAHIA;CAMACARI;23531211
326;BAHIA;CAMAMU;6031960
327;BAHIA;CAMPO ALEGRE DE LOURDES;5667843
328;BAHIA;CAMPO FORMOSO;11821476
329;BAHIA;CANAPOLIS;1794191
330;BAHIA;CANARANA;4501987
331;BAHIA;CANAVIEIRAS;5468710
332;BAHIA;CANDEAL;1544856
333;BAHIA;CANDEIAS;7591503
334;BAHIA;CANDIBA;1980919
335;BAHIA;CANDIDO SALES;4158190
336;BAHIA;CANSANCAO;6616666
337;BAHIA;CARAVELAS;3121550
338;BAHIA;CARDEAL DA SILVA;1552731
339;BAHIA;CARINHANHA;5242863
340;BAHIA;CASA NOVA;12256155
341;BAHIA;CASTRO ALVES;4021887
342;BAHIA;CATOLANDIA;549036
343;BAHIA;CATU;4978633
344;BAHIA;CENTRAL;3203744
345;BAHIA;CHORROCHO;1965478
346;BAHIA;CICERO DANTAS;5342572
347;BAHIA;CIPO;2583638
348;BAHIA;COARACI;3849458
349;BAHIA;COCOS;3109037
350;BAHIA;CONCEICAO DA FEIRA;3164324
351;BAHIA;CONCEICAO DO ALMEIDA;2341561
352;BAHIA;CONCEICAO DO COITE;10502137
353;BAHIA;CONCEICAO DO JACUIPE;3158334
354;BAHIA;CONDE;3923782
355;BAHIA;CONDEUBA;2586340
356;BAHIA;CONTENDAS DO SINCORA;635668
357;BAHIA;CORACAO DE MARIA;3952630
358;BAHIA;CORDEIROS;1306265
359;BAHIA;CORIBE;2825631
360;BAHIA;CORONEL JOAO SA;3720607
361;BAHIA;CORRENTINA;5073542
362;BAHIA;COTEGIPE;2533175
363;BAHIA;CRAVOLANDIA;861525
364;BAHIA;CRISOPOLIS;3509771
365;BAHIA;CRISTOPOLIS;2473525
366;BAHIA;CRUZ DAS ALMAS;5430040
367;BAHIA;CURACA;5887989
368;BAHIA;DARIO MEIRA;2335313
369;BAHIA;DOM BASILIO;1583618
370;BAHIA;DOM MACEDO COSTA;556443
371;BAHIA;ELISIO MEDRADO;1096902
372;BAHIA;ENCRUZILHADA;3723792
373;BAHIA;ENTRE RIOS;5308182
374;BAHIA;ESPLANADA;4769392
375;BAHIA;EUCLIDES DA CUNHA;10023964
376;BAHIA;FEIRA DE SANTANA;52388138
377;BAHIA;FIRMINO ALVES;685999
378;BAHIA;FLORESTA AZUL;1643191
379;BAHIA;FORMOSA DO RIO PRETO;3519977
380;BAHIA;GANDU;4683780
381;BAHIA;GENTIO DO OURO;2018513
382;BAHIA;GLORIA;2574978
383;BAHIA;GONGOGI;1300236
